date,abandoned,connected,disconnected,neverseen,cc
2017-12-07,7,1,3,0,EG
2017-12-06,7,2,2,0,EG
2017-12-05,7,2,2,0,EG
2017-12-04,7,2,2,0,EG
2017-12-03,7,2,2,0,EG
2017-12-02,7,2,2,0,EG
2017-12-01,7,2,2,0,EG
2017-11-30,6,1,4,0,EG
2017-11-29,6,2,3,0,EG
2017-11-28,6,2,3,0,EG
2017-11-27,6,1,4,0,EG
2017-11-26,6,2,3,0,EG
2017-11-25,6,1,4,0,EG
2017-11-24,6,1,4,0,EG
2017-11-23,6,1,4,0,EG
2017-11-22,6,1,4,0,EG
2017-11-21,6,1,4,0,EG
2017-11-20,6,1,4,0,EG
2017-11-19,6,1,4,0,EG
2017-11-18,6,1,4,0,EG
2017-11-17,6,1,4,0,EG
2017-11-16,6,2,3,0,EG
2017-11-15,6,2,3,0,EG
2017-11-14,6,2,3,0,EG
2017-11-13,6,2,3,0,EG
2017-11-12,6,1,4,0,EG
2017-11-11,6,2,3,0,EG
2017-11-10,6,1,4,0,EG
2017-11-09,6,1,4,0,EG
2017-11-08,6,1,4,0,EG
2017-11-07,6,1,4,0,EG
2017-11-06,6,1,4,0,EG
2017-11-05,6,1,4,0,EG
2017-11-04,6,1,4,0,EG
2017-11-03,6,1,4,0,EG
2017-11-02,6,2,3,0,EG
2017-11-01,6,2,3,0,EG
2017-10-31,6,2,3,0,EG
2017-10-30,6,2,3,0,EG
2017-10-29,6,1,4,0,EG
2017-10-28,6,1,4,0,EG
2017-10-27,6,1,4,0,EG
2017-10-26,6,0,5,0,EG
2017-10-25,6,1,4,0,EG
2017-10-24,6,2,3,0,EG
2017-10-23,6,2,3,0,EG
2017-10-22,6,2,3,0,EG
2017-10-21,6,2,3,0,EG
2017-10-20,6,1,4,0,EG
2017-10-19,6,1,4,0,EG
2017-10-18,6,1,4,0,EG
2017-10-17,6,1,4,0,EG
2017-10-16,6,0,5,0,EG
2017-10-15,6,1,4,0,EG
2017-10-14,6,2,3,,EG
2017-10-13,6,2,3,,EG
2017-10-12,6,1,4,,EG
2017-10-11,6,2,3,,EG
2017-10-10,6,1,4,,EG
2017-10-09,6,2,3,,EG
2017-10-08,6,2,3,,EG
2017-10-07,6,2,3,,EG
2017-10-06,6,2,3,,EG
2017-10-05,6,1,4,,EG
2017-10-04,6,1,4,,EG
2017-10-03,6,1,4,,EG
2017-10-02,6,1,4,,EG
2017-10-01,6,1,4,,EG
2017-09-30,6,1,4,,EG
2017-09-29,6,1,4,,EG
2017-09-28,6,1,4,0,EG
2017-09-27,6,1,4,0,EG
2017-09-26,6,1,4,0,EG
2017-09-25,6,1,4,,EG
2017-09-24,6,2,3,0,EG
2017-09-23,6,2,3,0,EG
2017-09-22,6,2,3,0,EG
2017-09-21,6,2,3,0,EG
2017-09-20,6,2,3,0,EG
2017-09-19,6,2,3,0,EG
2017-09-18,6,2,3,0,EG
2017-09-17,6,2,3,0,EG
2017-09-16,6,2,3,0,EG
2017-09-15,6,2,3,0,EG
2017-09-14,6,2,3,0,EG
2017-09-13,6,2,3,0,EG
2017-09-12,6,2,3,0,EG
2017-09-11,6,2,3,0,EG
2017-09-10,6,2,3,0,EG
2017-09-09,6,3,2,0,EG
2017-09-08,6,3,2,0,EG
2017-09-07,6,3,2,0,EG
2017-09-06,6,3,2,0,EG
2017-09-05,6,2,3,0,EG
2017-09-04,6,2,3,0,EG
2017-09-03,6,2,3,0,EG
2017-09-02,6,2,3,0,EG
2017-09-01,6,2,3,0,EG
2017-08-31,6,3,2,0,EG
2017-08-30,6,3,2,0,EG
2017-08-29,6,3,2,0,EG
2017-08-28,6,3,2,0,EG
2017-08-27,6,3,2,0,EG
2017-08-26,6,1,4,0,EG
2017-08-25,6,2,3,0,EG
2017-08-24,6,2,3,0,EG
2017-08-23,6,3,2,0,EG
2017-08-22,6,3,2,0,EG
2017-08-21,6,3,2,0,EG
